company_id,company_sector
95b5a067-808a-44a9-a490-b4ef8a045f61,Automobile
46e1d061-e39d-4d5c-8e0e-3fa5d45d9efc,Software
728ae3b7-89dd-41eb-9608-4fc20c839d4c,Automobile
8727cc61-8c4b-4285-8853-2db808392c04,Software
e90a7bc7-47fa-49af-bfa1-391fe7768b56,Software
b6472c52-732a-4fd2-a463-ae604c0a2c79,Software
ed4fc91d-8ac8-4882-a9e9-071a88423ca5,Retail
c144e397-bef9-4aa1-aef4-842f4da44f9c,Retail
24ca0568-d946-4c14-a0d7-eb81295b7a9e,Retail
296247ef-c553-4704-ad67-0878c87ff729,Banking
c1634e16-17c8-42f6-8513-b8c50a4f230c,Banking
e245b12c-5b3b-4a83-a4ad-391974b34a37,Banking
